,nyt_title,nyt_date,nyt_abstract,nyt_url,news_index,poli_con_class,
8629,"Sweden Enters NATO, a Blow to Moscow and a Boost to the Baltic Nations",2024-03-07,"With the addition of Sweden to NATO, President Vladimir V. Putin of Russia finds himself facing an enlarged and motivated alliance.",https://www.nytimes.com/2024/03/07/world/europe/sweden-nato-neutrality.html,8629,1,
3632,Video Shows Gunmen Storming West Bank Hospital,2024-01-30,The Palestinian Authority Health Ministry released surveillance video that shows armed members of Israeli forces dressed in civilian clothes inside Ibn Sina Specialized Hospital in Jenin.,https://www.nytimes.com/video/world/middleeast/100000009289125/israel-attack-west-bank-hospital.html,3632,1,
9149,Confronted by an Angry Moose? Here’s What to Do.,2024-03-11,"Moose are ordinarily docile animals. The chances of having to defend yourself against one in the wild are slim, but not zero.",https://www.nytimes.com/2024/03/11/us/moose-encounter-what-to-do.html,9149,0,
6250,The Wife of Haiti’s Assassinated President Is Accused in His Killing,2024-02-19,"Martine Moïse, the widow of President Jovenel Moïse, was charged by a Haitian judge with conspiring in his assassination. She was seriously injured in the attack.",https://www.nytimes.com/2024/02/19/world/americas/haiti-assassinated-president-wife-accused.html,6250,1,
1988,Princess of Wales to Be Hospitalized for 10 Days After Abdominal Surgery,2024-01-17,"Kensington Palace said Catherine, the wife of Prince William, would not return to public duties until after Easter. Separately, King Charles will receive prostate treatment next week.",https://www.nytimes.com/2024/01/17/world/europe/princess-kate-middleton-abdominal-surgery.html,1988,0,
5510,Imran Khan’s Opponents Reach Deal to Shut His Allies Out of Government,2024-02-14,"After days of wrangling, two parties run by political dynasties joined forces and will nominate Shehbaz Sharif to be Pakistan’s prime minister.",https://www.nytimes.com/2024/02/14/world/asia/pakistan-election-coalition-government.html,5510,0,
4710,Two Cases Aim to Cut Off China and Iran From U.S. Technology,2024-02-07,"In one case, material stolen from a private company would help the development of technology to track ballistic and hypersonic missiles, U.S. officials said.",https://www.nytimes.com/2024/02/07/us/politics/china-iran-arrests-export-controls.html,4710,0,
9878,"President Biden, You Have Leverage That Can Save Lives in Gaza. Please Use It.",2024-03-16,"While Biden is using tougher language toward Israel, he isn’t backing that up with consequences for being ignored.",https://www.nytimes.com/2024/03/16/opinion/biden-israel-gaza.html,9878,1,
9581,Investing in Caregivers and Nursing Homes,2024-03-14,Two readers call for more federal funding for care of the sick and the elderly. Also: Data on drivers; Covid lessons; diversity in college admissions.,https://www.nytimes.com/2024/03/14/opinion/family-caregivers-nursing-homes.html,9581,0,
2553,There Is Another Passenger on the Trump Train,2024-01-22,And it’s getting very crowded.,https://www.nytimes.com/2024/01/22/opinion/trump-biden-haley-presidential-election.html,2553,0,
4202,South Carolina Democratic Primary Results,2024-02-03,Get live election results and maps from the South Carolina Democratic primary.,https://www.nytimes.com/interactive/2024/02/03/us/elections/results-south-carolina-democratic-primary.html,4202,0,
6439,"Ameen Sayani, Pioneering Radio Star in India, Dies at 91",2024-02-21,"One of the first voices heard on the airwaves in Asia, he became recognized by generations of listeners in India over 42 years of broadcasting Bollywood music.",https://www.nytimes.com/2024/02/21/world/asia/ameen-sayani-dead.html,6439,0,
8088,The Trial of James Crumbley in the Oxford High Killings: What to Know,2024-03-05,The parents of a teenager who killed four students at a Michigan high school were charged with involuntary manslaughter. His mother was convicted. Now the father is standing trial.,https://www.nytimes.com/2024/03/05/us/james-crumbley-trial-oxford-shooting.html,8088,1,US
11191,An ‘Irish Heiress’ Conned Him. He Started a Podcast to Track Her Down.,2024-03-26,Marianne Smyth was convicted of grand theft after she claimed that her family had cut her out of an inheritance. She faces extradition to Northern Ireland on separate fraud and theft charges.,https://www.nytimes.com/2024/03/26/us/irish-heiress-marianne-smyth-con.html,11191,0,
35,"In Quake-Scarred Japan, 2011 Fukushima Disaster Still Looms Large",2024-01-01,"As another major quake struck Japan, the country was still reckoning with the nuclear crisis triggered by the 8.9-magnitude earthquake and a tsunami of 13 years ago.",https://www.nytimes.com/2024/01/01/world/asia/japan-fukushima-quake-tsunami.html,35,0,
5617,House Republican Majority Shrinks Again as Congress Faces Critical Issues,2024-02-14,"The victory of Tom Suozzi, a Democrat, in a special election in New York will chip away at the already thin Republican hold over the House.",https://www.nytimes.com/2024/02/14/us/politics/house-republicans-congress-suozzi.html,5617,0,
9537,Russia’s 2024 Presidential Vote: What to Know,2024-03-14,"The presidential vote in Russia begins on Friday and lasts through Sunday, and although it features the trappings of a horse race, it is more of a predetermined, Soviet-style referendum.",https://www.nytimes.com/2024/03/14/world/europe/russia-election-explained.html,9537,0,
1800,Why This Unlikely Washington Friendship Endures,2024-01-16,The surprising friendship that has made Donald Trump’s trade policies so durable.,https://www.nytimes.com/2024/01/16/opinion/trump-trade-nafta.html,1800,0,
11041,Ukrainians Dismiss Kremlin Suggestions Their Country Was Behind Moscow Attack,2024-03-25,Officials and ordinary citizens say Russia is blaming Ukraine in order to shore up support for its war in Ukraine and escalate the fighting there.,https://www.nytimes.com/2024/03/25/world/europe/moscow-terror-attack-ukraine.html,11041,1,
3826,"The Young Black Conservative Who Grew Up With, and Rejects, D.E.I.",2024-02-01,"Coleman Hughes wants a colorblind society. In his new book, he recounts how schools emphasized his racial identity — and other students’ white privilege.",https://www.nytimes.com/2024/02/01/us/coleman-hughes-black-conservative-colorblind.html,3826,0,
4285,Remnants of a Nuclear Missile Are Found in a Garage,2024-02-05,The police responded to a call from a U.S. Air Force museum that said a man had offered to donate a Cold War-era missile stored in his late neighbor’s garage.,https://www.nytimes.com/2024/02/04/us/seattle-nuclear-missile-garage.html,4285,0,
1013,Italian Town Hitches Its Wagon to Plants That Bloom (Even in Winter),2024-01-10,"Lakefront Verbania in Italy’s Piedmont seeks to attract flower lovers with its mild climate, spectacular gardens and wild nature.",https://www.nytimes.com/2024/01/10/world/europe/italy-verbania-tourism-flowers-camillias.html,1013,0,
5283,Nor’easter Expected to Bring New York City’s Heaviest Snow in Over 2 Years,2024-02-12,"A storm starting Monday night will bring heavy snow to parts of New Jersey, New York and Connecticut, forecasters said.",https://www.nytimes.com/2024/02/12/us/winter-storm-snow-rain-forecast-noreaster.html,5283,0,
2734,No Labels Sued by New York Donors Claiming ‘Bait and Switch’,2024-01-23,"Two members of the Durst real estate family are suing the centrist political group No Labels, saying its pursuit of a possible third-party presidential bid is a breach of contract.",https://www.nytimes.com/2024/01/23/us/politics/durst-no-labels-lawsuit-election-donors.html,2734,0,
10186,The Three Kinds of Biden Protest Voters,2024-03-19,"Despite cruising to the Democratic nomination, President Biden has faced a substantial protest vote in some primaries. The pattern can be broken into three categories.",https://www.nytimes.com/interactive/2024/03/19/us/elections/biden-uncommitted-vote-democrats.html,10186,0,
7670,"In a Land of Lavish Weddings, This Prenuptial Party Takes the Cake",2024-03-01,A three-day pre-wedding ceremony for the son of one of India’s richest men raises the bar for extravagant festivity.,https://www.nytimes.com/2024/03/01/world/asia/india-wedding-party-ambani.html,7670,0,
9147,Biden Calls for Higher Taxes on Corporations and the Wealthy,2024-03-11,"The budget, which would cut the deficit by $3 trillion over the next decade, reinforces Biden’s efforts to counter Republican tax proposals that Democrats deride as giveaways to the wealthy.",https://www.nytimes.com/2024/03/11/us/politics/biden-budget-tax-proposal.html,9147,0,
8162,Texas 18th Congressional District Primary Election Results,2024-03-05,Get live results and maps from the 2024 Texas primary election.,https://www.nytimes.com/interactive/2024/03/05/us/elections/results-texas-us-house-18-primary.html,8162,0,
4885,A Good Day for Trump and His Lawyers,2024-02-08,The Supreme Court justices expressed doubts about barring Trump.,https://www.nytimes.com/2024/02/08/us/politics/trump-ballot-colorado-immunity.html,4885,0,
184,Hamas blames Israel for the death of a senior official in Lebanon.,2024-01-03,"Israel and the surrounding region were on edge Wednesday, a day after the assassination of a top Hamas leader in Lebanon heightened worries that the war in Gaza could spill over into a broader conflict.",https://www.nytimes.com/2024/01/03/world/middleeast/hamas-blames-israel-for-the-death-of-a-senior-official-in-lebanon.html,184,1,
89,Death Toll Rises to at Least 55 After Powerful Earthquake in Japan,2024-01-02,The authorities continued to look for people buried in the rubble of collapsed and burned buildings in the coastal epicenter of the disaster.,https://www.nytimes.com/2024/01/02/world/asia/japan-earthquake.html,89,0,
5822,Warnings Over Israel’s Rafah Threat Come From All Corners,2024-02-15,Allies and others say the safety of the Palestinian civilians who have sought shelter in the far south of Gaza is paramount.,https://www.nytimes.com/2024/02/15/world/middleeast/rafah-israel-offensive.html,5822,1,
9664,Friday Briefing,2024-03-15,The Russian election.,https://www.nytimes.com/2024/03/15/briefing/russia-election-schumer-israel-netanyahu.html,9664,0,
3617,Monkey Eats From Bird Feeder After Escaping Scottish Wildlife Park,2024-01-30,A Japanese macaque was spotted in a man’s backyard after it escaped from Highland Wildlife Park in Scotland.,https://www.nytimes.com/video/world/europe/100000009288849/monkey-escapes-scottish-wildlife-park.html,3617,0,
3074,Drivers Navigate Flooded Louisiana Roads,2024-01-25,Parts of Louisiana and Texas faced significant flooding as heavy rain inundated the region.,https://www.nytimes.com/video/us/100000009282361/louisiana-flood.html,3074,0,
7073,Biden Will Make Rare Visit to Southern Border on Same Day as Trump,2024-02-26,"The president, trying to go on the offensive over immigration, is planning to travel to Texas on Thursday, when Donald J. Trump is also set to visit a border city.",https://www.nytimes.com/2024/02/26/us/politics/biden-trump-border.html,7073,0,
2703,"Stripped, Beaten or Vanished: Israel’s Treatment of Gaza Detainees Raises Alarm",2024-01-23,A U.N. office said Israel’s detention and treatment of detainees might amount to torture. It estimated thousands had been detained and held in “horrific” conditions. Some were freed wearing only diapers.,https://www.nytimes.com/2024/01/23/world/middleeast/israel-gaza-palestinian-detainees.html,2703,1,
3510,The Promises and Problems of Buying Local,2024-01-29,"There’s no right answer to whether buying local is better. It’s a matter, instead, of trade-offs.",https://www.nytimes.com/2024/01/29/opinion/buy-local-free-trade.html,3510,0,
9804,Judge Rules D.A. Can Stay on Trump Georgia Case With Ex-Boyfriend Stepping Down,2024-03-15,The highly anticipated ruling cut a middle path between removing Fani T. Willis for a conflict of interest and her full vindication.,https://www.nytimes.com/2024/03/15/us/fani-willis-trump-georgia-ruling.html,9804,0,
8015,Alabama Democrats Swarm to a Rare Chance to Increase Their Power,2024-03-04,"A court-mandated redistricting has made for a suddenly competitive congressional race in a ruby-red state, and Democrats have lined up to seize the opportunity.",https://www.nytimes.com/2024/03/04/us/politics/alabama-primary-second-congressional-district.html,8015,0,
4304,Monday Briefing,2024-02-05,The U.S. leads strikes in the Middle East.,https://www.nytimes.com/2024/02/05/briefing/houthi-yemen-chile-fire.html,4304,1,
7142,Instagram and Facebook Subscriptions Get New Scrutiny in Child Safety Suit,2024-02-27,New Mexico’s attorney general has accused Meta of not protecting children from sexual predators on its platforms. He now wants to know how it polices subscribers to accounts featuring children.,https://www.nytimes.com/2024/02/26/us/instagram-facebook-children-subscriptions-predators.html,7142,0,
10783,Here’s the latest on the attack in Russia.,2024-03-22,"Several gunmen opened fire at a popular concert venue on the outskirts of Moscow on Friday, killing at least 40 people and wounding more than 100, Russia’s top security agency said, according to state news agencies.",https://www.nytimes.com/2024/03/22/world/europe/heres-the-latest-on-the-attack-in-russia.html,10783,1,
4670,"A Legal Outsider, an Offbeat Theory and the Fate of the 2024 Election",2024-02-07,"When the Supreme Court considers whether Donald J. Trump is barred from appearing on Colorado’s ballot, a professor’s scholarship, long relegated to the fringes, will take center stage.",https://www.nytimes.com/2024/02/07/us/politics/tillman-constitution-trump-colorado-ballot.html,4670,0,
7378,Supreme Court Appears Split Over Ban on Bump Stocks Enacted Under Trump,2024-02-28,"In a wide-ranging argument, the justices wrestled with the mechanics of gun triggers and the larger implications of the ban both for bump stock owners and the public.",https://www.nytimes.com/2024/02/28/us/politics/bump-stock-ban-supreme-court-trump.html,7378,0,
3630,"Khaled Nezzar, General at Center of Algeria’s Bloodshed, Dies at 86",2024-01-30,"In the 1990s, he oversaw troops that committed a host of atrocities against equally brutal Islamist rebels in what became known as the Black Decade.",https://www.nytimes.com/2024/01/30/world/africa/khaled-nezzar-dead.html,3630,0,
6657,Biden Called Putin a ‘Crazy S.O.B.’ The Kremlin Called Biden a ‘Cowboy.’,2024-02-22,The comments were a blunt tit-for-tat between the two adversaries.,https://www.nytimes.com/2024/02/22/us/politics/biden-putin-crazy-sob.html,6657,0,
10235,Illinois 3rd Congressional District Primary Election Results,2024-03-19,Get live results and maps from the 2024 Illinois primary election.,https://www.nytimes.com/interactive/2024/03/19/us/elections/results-illinois-us-house-3-primary.html,10235,0,
1288,Electric Double-Decker Bus Catches Fire During London’s Morning Rush Hour,2024-01-11,"There were no injuries, and the London Fire Brigade said it would investigate the cause of the fire on the iconic red double-decker bus.",https://www.nytimes.com/2024/01/11/world/europe/london-wimbledon-bus-fire.html,1288,0,
5790,Where Did Our Strange Use of ‘Like’ Come From?,2024-02-15,A novel way to take the temperature down during conversation.,https://www.nytimes.com/2024/02/15/opinion/casual-speech-like.html,5790,0,
7411,Alabama Republicans Scramble in an Effort to Pass an I.V.F. Shield Law,2024-02-28,"The urgency underscores the bind for the party, which has long maintained that life begins at conception but must now reconcile that stance with broad support for I.V.F.",https://www.nytimes.com/2024/02/28/us/politics/alabama-ivf-protections-law.html,7411,0,
8952,‘People Are Hoping That Israel Nukes Us So We Get Rid of This Pain’,2024-03-09,A father’s desperate texts from Gaza offer a window into five months of suffering there.,https://www.nytimes.com/2024/03/09/opinion/gaza-israel-war.html,8952,1,
4110,Judge Scraps Trial Date for Trump Election Subversion Case,2024-02-02,"Judge Tanya Chutkan removed the planned March 4 start from her calendar, formalizing a delay that had become increasingly likely in recent weeks. It remains unclear when the trial might start.",https://www.nytimes.com/2024/02/02/us/politics/trump-trial-election-date-delay.html,4110,0,
8983,Trump Vilifies Migrants and Mocks Biden’s Stutter in Georgia Speech,2024-03-10,The former president also attacked Mr. Biden in harsh terms in a combative speech that signaled the beginning of the general election campaign.,https://www.nytimes.com/2024/03/10/us/politics/trump-biden-georgia-rally.html,8983,0,
1080,A Super PAC Forms to Support No Labels,2024-01-10,Officials with the group said they had $2 million in initial commitments but expect up to $300 million if there’s a “viable” ticket.,https://www.nytimes.com/2024/01/10/us/politics/super-pac-no-labels.html,1080,0,
5243,Biden and Jordan’s King Call on Israel to Protect Palestinians in Rafah,2024-02-12,"King Abdullah, who had his first face-to-face conversation with President Biden since the Gaza war began, said an Israeli invasion of the city was “certain to produce another humanitarian catastrophe.”",https://www.nytimes.com/2024/02/12/world/middleeast/biden-king-abdullah-jordan.html,5243,1,
5993,Trump Hit Where It Hurts Most,2024-02-16,The civil fraud ruling is a blow to the former president’s wallet and his image.,https://www.nytimes.com/2024/02/16/us/politics/trump-trial-fraud-ruling.html,5993,0,
10227,Illinois 12th Congressional District Primary Election Results,2024-03-19,Get live results and maps from the 2024 Illinois primary election.,https://www.nytimes.com/interactive/2024/03/19/us/elections/results-illinois-us-house-12-primary.html,10227,0,
7274,Police Officer Charged With Murdering Two Men in Australia,2024-02-27,"The officer, Beaumont Lamarre-Condon, was charged Friday with killing Jesse Baird, 26, and Luke Davies, 29, who had been missing for more than a week and whose bodies were found on Tuesday.",https://www.nytimes.com/2024/02/27/world/australia/sydney-bodies-found-police-murder.html,7274,0,
10415,"U.S. Debt Races Toward Record This Decade, C.B.O. Warns",2024-03-20,Recently passed spending limits have slightly improved the nation’s fiscal outlook.,https://www.nytimes.com/2024/03/20/us/politics/debt-taxes-budget.html,10415,0,
4478,What to Watch in Nevada’s Weird Election Week,2024-02-06,"Tuesday’s primaries feature President Biden with token opposition, while Nikki Haley is aiming not to lose to “none of these candidates.” G.O.P. caucuses, engineered for Donald Trump, are on Thursday.",https://www.nytimes.com/2024/02/06/us/politics/nevada-republican-primary-caucus-trump-haley.html,4478,0,
180,Trump Makes Another Pitch to Appeals Court on Immunity in Election Case,2024-01-03,The filing was the last step before an appeals court in Washington will hold a hearing on the crucial issue next week.,https://www.nytimes.com/2024/01/02/us/politics/trump-appeals-court-immunity.html,180,0,
10709,Why Control of the Senate Hinges on Don Jr.’s Hunting Buddy,2024-03-22,Senate Republicans may win back the chamber in November because they finally learned some lessons from election losses.,https://www.nytimes.com/2024/03/22/opinion/senate-republicans-trump.html,10709,0,
1224,‘Frozen Garlic!’ Taiwan Likes Its Democracy Loud and Proud,2024-01-11,"At the island’s election rallies, warming up the crowd for candidates is crucial. “You have to light a fire in their hearts,” one host says.",https://www.nytimes.com/2024/01/11/world/asia/taiwan-election-democracy-loud.html,1224,0,
10594,Johnson Says He Will Invite Netanyahu to Address Congress,2024-03-21,"Senator Chuck Schumer, the majority leader, also said he would support having a speech delivered “to Congress in a bipartisan way.”",https://www.nytimes.com/2024/03/21/world/middleeast/johnson-netanyahu-schumer.html,10594,0,
5403,Trump Is Losing It,2024-02-13,"Unfortunately for Biden, the former president benefits from something akin to the soft bigotry of low expectations.",https://www.nytimes.com/2024/02/13/opinion/trump-campaign-biden-aging.html,5403,0,
8821,Pentagon Review Finds No Evidence of Alien Cover-Up,2024-03-08,But the new report suggests that the public’s belief that the government is hiding what it knows will probably continue.,https://www.nytimes.com/2024/03/08/us/politics/pentagon-ufo-alien-review.html,8821,0,
509,Beyond the Front Lines,2024-01-05,The war in Ukraine has entered a new phase.,https://www.nytimes.com/2024/01/05/briefing/ukraine-russia-war-new-phase.html,509,1,
11605,"As Bridge Cleanup Gets Underway, Officials Warn of ‘Daunting’ Process",2024-03-29,"Clearing the debris from the collapsed Francis Scott Key Bridge will be a complex but urgent task, officials said. And rebuilding it may take several years, they cautioned.",https://www.nytimes.com/2024/03/29/us/baltimore-francis-scott-key-bridge.html,11605,0,
9784,"Who Is Ashleigh Merchant, the Lawyer Who Led the Effort to Oust Fani Willis?",2024-03-15,Her revelation of a romantic relationship between the lead prosecutors in the Trump case threw the proceedings into turmoil.,https://www.nytimes.com/2024/03/15/us/elections/ashleigh-merchant-fani-willis.html,9784,0,
6392,The Two-Decade Fight for Two Letters on the Internet,2024-02-21,"The South Pacific island of Niue says it was cheated out of .nu, a domain that turned out to be very lucrative on the other side of the world.",https://www.nytimes.com/2024/02/21/world/asia/niue-nu-domain-sweden.html,6392,0,
1618,Dangerous Subzero Wind Chills Blanket Much of the U.S.,2024-01-14,More than 100 million people were under a wind chill warning or advisory on Sunday as an “Arctic blast” blanketed the country. Two people were killed in Oregon after trees fell on their homes.,https://www.nytimes.com/2024/01/14/us/cold-snow-blizzards-weather.html,1618,0,
2093,When Public Health Loses the Public,2024-01-18,What role may public health officials have played in fostering public distrust of them?,https://www.nytimes.com/2024/01/18/opinion/public-health-trust.html,2093,0,
7697,A Protest Against Biden Over the Gaza War,2024-03-01,"Readers discuss Arab American criticism of the president, reflected in the Michigan primary. Also: Politicians’ visits to the border; congressional gridlock.",https://www.nytimes.com/2024/03/01/opinion/joe-biden-gaza-protest.html,7697,1,
3557,Letter to San Zaw Htway,2024-01-30,"After the 2021 military coup in Myanmar, loved ones of the deceased artist and political prisoner San Zaw Htway wrote him letters as an act of remembrance and hope.",https://www.nytimes.com/video/opinion/100000009269993/letter-to-san-zaw-htway.html,3557,1,
5609,Sarkozy’s Prison Sentence Halved to 6 Months,2024-02-14,"Former President Nicolas Sarkozy of France saw an appeals court uphold his conviction for illegally financing an election campaign, but he received a lighter sentence.",https://www.nytimes.com/2024/02/14/world/europe/nicolas-sarkozy-verdict.html,5609,0,
2819,Wednesday Briefing,2024-01-24,Here’s what you need to know.,https://www.nytimes.com/2024/01/24/briefing/buffer-zone-israel-nato-sweden.html,2819,0,
4527,"The Trump Election Immunity Ruling, Annotated",2024-02-06,"A three-judge appeals court panel rejected former President Donald J. Trump’s claim that he was immune to criminal charges. Read its decision, with Times analysis.",https://www.nytimes.com/interactive/2024/02/06/us/politics/trump-immunity-ruling-2020-election.html,4527,0,
5220,Boy Is Critically Wounded in Shooting at Houston Church Led by Joel Osteen,2024-02-11,"A woman entered the Lakewood Church, a megachurch in Houston, with a rifle and opened fire, officials said. Off-duty officers shot and killed her.",https://www.nytimes.com/2024/02/11/us/shooting-houston-osteen-lakewood-church.html,5220,0,
4328,"​This Florida Mall Has Gucci, Prada … and Soon, Affordable Housing?",2024-02-05,"A​ new law​ lets developers bypass local zoning rules if they promise “work force housing.”​ ​I​t has stirred an uproar around the state, most recently in affluent Bal Harbour​.",https://www.nytimes.com/2024/02/05/us/florida-affordable-housing-bal-harbour.html,4328,0,
6092,U.S. Fears Russia Might Put a Nuclear Weapon in Space,2024-02-17,"American spy agencies are divided on whether Moscow would go so far, but the concern is urgent enough that Secretary of State Antony J. Blinken has asked China and India to try to talk Russia down.",https://www.nytimes.com/2024/02/17/us/politics/russia-nuclear-weapon-space.html,6092,0,
1495,Court Papers Offer Glimpse of Trump’s Defense in Classified Documents Case,2024-01-12,The former president’s lawyers may question whether the documents he took from the White House were related to national defense and whether the country’s security was damaged.,https://www.nytimes.com/2024/01/12/us/politics/trump-defense-classified-documents.html,1495,0,
11222,Birmingham-Southern College to Close After Failing to Secure State Loan,2024-03-26,"After decades of financial mismanagement, the nearly 170-year-old private liberal arts school is set to close at the end of May.",https://www.nytimes.com/2024/03/26/us/birmingham-southern-college-closing.html,11222,0,
1482,"Manchin, ‘Not Here Campaigning,’ Stirs 2024 Chatter in New Hampshire",2024-01-12,"The attention-seeking West Virginia senator, who has teased a late third-party presidential bid, tried to keep up the suspense at a Friday appearance in the state.",https://www.nytimes.com/2024/01/12/us/politics/new-hampshire-joe-manchin.html,1482,0,
9021,"If There’s One Thing Trump Is Right About, It’s Republicans",2024-03-10,"For the thousandth time, the G.O.P. refused an off-ramp that would free itself from him.",https://www.nytimes.com/2024/03/10/opinion/trump-republicans-mcconnell-2024.html,9021,0,
1902,The Genocide Charge Against Israel Is a Moral Obscenity,2024-01-17,"In a war, the killing ends when one side stops fighting. In a genocide, that’s when the killing begins.",https://www.nytimes.com/2024/01/16/opinion/israel-hamas-war-genocide.html,1902,1,
6540,"DeSantis, in Private Call, Sounds Off on Trump and Conservative News Media",2024-02-22,"Speaking with supporters in a call on Wednesday, Gov. Ron DeSantis of Florida said he would not be Donald J. Trump’s vice president.",https://www.nytimes.com/2024/02/21/us/politics/desantis-trump-conservative-media.html,6540,0,
88,"In 2024, Expect New Debates on A.I., Gender and Guns",2024-01-02,Some of the most contentious issues in the country will dominate the agendas of state legislatures returning to work in the coming days and weeks.,https://www.nytimes.com/2024/01/02/us/state-legislatures-2024.html,88,0,
9446,"Hunter Biden Refuses to Testify Publicly, Calling G.O.P. Inquiry a ‘Circus’",2024-03-13,"In a letter, a lawyer for the president’s son cited a scheduling conflict and denounced the Republican impeachment inquiry as a “carnival side show.”",https://www.nytimes.com/2024/03/13/us/politics/hunter-biden-testify.html,9446,0,
